,title,company,location,salary,requirements
0,Data Entry Keyers,In Depth Solutions,"Boise, ID 83705 (Vista area)",$10 - $15 an hour,"An Associate’s Degree or equivalent higher education and/or past experience doing data entry is ideal, but not required.Part-Time/Full-Time Employment."
1,newJr. Data Scientist,Paramount,"New York, NY 10036",,"Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives."
2,newGMO Global Risk Data Goverance and Analytics,Bank of America,"Charlotte, NC 28202 (First Ward area)",,Carry out analytics on key risk themed data to support identification of emerging risks; design and implement data themed reporting for Senior Teams.
3,"newProgram Associate, Social Impact",Google,"San Francisco, CA",,Manage portfolio data and shaping budgets.Bachelor's degree or equivalent practical experience.2 years of experience in consulting or program management at a…
4,Data Entry Operators,Data Dash,"St. Louis, MO 63129",,"Call (573)760-0230 for an appointment to fill out an application and take our data entry test.At Data Dash, 12,000,000 keystrokes are available per day, with…"
5,"newClerk, PT Data Entry (REMOTE/VIRTUAL WORKPLACE)",Royal Caribbean Group,Remote in United States,,The Data Entry employee compares data on screen with source document or re-enters data in verification format.
6,Data Entry Operator,DHL,"Portage, IN 46368+1 location",From $14 an hour,"Compares data entered with source documents, or re-enters data in verification format on screen to detect errors.May respond to customer request for data."
7,DOT Tickets - Data Entry Clerk,Stella Environmental Services,"Houston, TX 77032",,"Check source documents for data accuracy.Prepare, compile and sort documents for data entry.Combine and rearrange data from source documents where required."
8,"Data Scientist, Operations Data Science",Google,"Hybrid remote in Mountain View, CA+9 locations","$95,000 a year","Lead projects with hands-on analysis and modeling, drawing from multiple of analytical methods to choose the right tool and right level of complexity…"
9,Image Review / Data Entry Operator,Conduent,"El Paso, TX 79912 (Northwest area)+12 locations",$10 an hour,"Image Review / Data Entry Operator*.We will rely on your attention to detail, customer service experience, passion, and efficiency to process their needs."
10,REMOTE - Data Scientist,Labcorp,"Remote in Westborough, MA+1 location",,"Use analytical and statistical methods to analyze large amounts of data, extracting actionable insights using advanced techniques such as data analysis, data…"
11,newPeople Operations Associate,PeopleOps Jobs,+1 locationRemote,"$30,603 - $104,406 a year","This includes, but is not limited to, data entry, HR setup, organizing equipment delivery, calendar scheduling, and setting up new accounts."
12,Graduate Data Scientist - Role Can be Remote,MARS,"Remote in Franklin, TN+5 locations",,"Basic programming, data analysis, and visualization skills.Basic understanding of the pet care journey enabling data story telling."
13,newDepartment Assistant,Paramount Pictures,"Los Angeles, CA 90038",,Willing and able to pitch in with occasional data entry and basic review of social conversation Basic qualifications:Creates and maintains spreadsheet files.
14,newData Control Specialist,Tulane University,"New Orleans, LA",,The employee will be responsible for data entry and conduct data management by using available programs and provided procedures to maintain and manipulate…
15,newInvestment Data Lead Analyst,California Public Employees' Retirement System...,"Remote in Sacramento, CA","$9,537 - $11,373 a month","Our Data Integrity Group is currently seeking an Investment Officer III (IO III) to serve as the INVO Data Operations subject matter expert on data domains,…"
16,newData Engineer,Bath & Body Works,"Columbus, OH",,"Identify opportunities and build solutions to optimize data processing, improve data quality and reduce failures.Supporting software on Linux Platform."
17,Associate Data Scientist,Nike,"Beaverton, OR+1 location",,"Exposure to or experience in data engineering, data science, or operations research/analysis preferred.Basic understanding of data structures and algorithms."
18,Data Entry Specialist,NEXT Oncology,"Remote in Fairfax, VA","$40,000 - $65,000 a year",Data entry personnel will also resolve all data queries.Meets with sponsor/monitors to review data entry.Communicates as needed with accounts receivable staff…
19,"newManager, Data Analytics",Paramount,"New York, NY 10036+1 location",,"Query a data warehouse for data via SQL.Create data lakes by pulling data from different sources (i.e., social APIs).Proficient in Datorama and Python."
20,Data Analyst – Enterprise Data,Microsoft,"Remote in Redmond, WA+5 locations",,Work with data engineers to operationalize dashboards and ingest new data sources (provide data modeling requirements).
21,"newData Analyst, BPE",Facebook App,"Menlo Park, CA+44 locations",,Experience with data visualization tools such as Tableau.Experience with reporting systems and data pipeline architecture.4+ years of SQL experience.
22,newData Control Specialist,Tulane University,"New Orleans, LA",,The employee will be responsible for data entry and conduct data management by using available programs and provided procedures to maintain and manipulate…
23,newOriginals Reporting Analyst,Hulu,"Santa Monica, CA 90404",,"The right person for this role is highly analytical, has strong attention to detail, and likes to solve problems."
24,newSenior Data Entry Clerk - Remote,UnitedHealth Group,"Remote in Dallas, TX+4 locations",,"1+ years of data entry or administrative experience.Performs high-volume data entry using word processing, spreadsheet, database, or other computer software."
25,newData Coordinator (Excel based),Archbright,"Seattle, WA 98108 (Georgetown area)",,"Format data analysis reports, summary documents, and data charts.Manage data in all applicable software systems.Advanced to Expert MS Excel skills."
26,data scientist -Remote,Starbucks,"Remote in Seattle, WA+2 locations",,"Experience building complex data sets from multiple data sources, both internally and externally.Extract and transform data from multiple sources in…"
27,newData Entry Clerk,Reynolds and Reynolds,"Duluth, GA 30095+1 location",,Secure Title Administration (STA) is a division of Reynolds and Reynolds that helps lenders manage and track the title throughout the term of the lease or loan.
28,newRemote Personal Assistant,"Excellence Services, LLC",Remote,"$62,400 - $102,000 a year","Collect information, perform research and data analysis as needed; provide suggestions to the Principals with the best solution to solve problems."
29,newCombine Automation Data Scientist,John Deere,"Hybrid remote in Silvis, IL+4 locations",,Experience with tools used for data management or data warehousing.Provide liaison support with our back-office data partners.
30,newData Science,Halliburton,"Houston, TX 77032 (IAH - Airport area)+2 locations",,"Analyze large scale complex business data (time series data, structured/unstructured) from various data sources and draw insights."
31,newData Analyst,KEYENCE,"Itasca, IL 60143","$97,000 - $135,000 a year",Ability to work with large volume of confidential data.Generate performance-based incentive compensation reports for sales teams on a monthly and quarterly…
32,COVID-19 Test Site Data Entry,University of Minnesota,"Minneapolis, MN",,Demonstrated commitment to promoting a culture that respects and advances diversity and inclusion.Ability to adapt in a fast paced environment.
33,Part-Time Student-Smart Connected Factory/Data & Analytics-R...,John Deere,"Remote in Waterloo, IA",,Locates and acquires data from existing data locations as needed to support analytics and reporting.Participates in creating analytics models by applying data…
34,Data Scientist,Oracle,United States+14 locations,,"Work on multiple stages of data science projects, including data pipeline, aggregation, feature engineering, modeling and visualization."
35,Data Science & Analytics,Digital Trike,"South Jordan, UT 84095",,"As much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and…"
36,newData Catalyst,John Deere,"Hybrid remote in Johnston, IA",,Experience with the Agribusiness product and underlying data at John Deere Financial or other similar industry experience.As a Data Catalyst you will….
37,newAccessioner/Data Entry Representative,Sonic Healthcare USA provides equal employment...,"Greensboro, NC",,"Job Functions, Duties, Responsibilities and Position Qualifications:Sonic Healthcare USA provides equal employment opportunities to all employees and…"
38,Junior Data Scientist,ClimateAI,"Remote in San Francisco Bay Area, CA",,Experience with weather and climate data.Produce data analyses requested by our team and our customers.Develop data science algorithms for climate analytics;…
39,Data Science Co-Op- Fall 2022,Johnson & Johnson Family of Companies,"Cincinnati, OH 45242+71 locations",,Write software to enable data analysis and ensure data quality.Perform exploratory data analysis and contribute to the development of Ethicon’s data pipeline…
40,newData Scientist,Adobe,"San Francisco, CA+10 locations",,Big data manipulation and programming.You will need to find innovative approaches for evaluating the digital strategies of the world’s largest brands through…
41,newData Entry Clerk,San Ysidro Health,"San Diego, CA 92173",,"Under the direct supervision of the Contracts Program Manager, the Contracts Clerk is responsible for performing daily clerical and administrative tasks to…"
42,newData Specialist,The University of Alabama,"Tuscaloosa, AL",$14.49 - $21.15 an hour,"Job Summary: The Data Specialist is responsible for assisting a college, department, or division with data related functions which could include data collection…"
43,"newData Science, Analyst",Toyota,"Plano, TX 75023+4 locations",,The primary responsibility of this role is to uncover actionable insights through data analysis and help drive data-based decision making throughout the…
44,Data Curator,Alphamatician,"Remote in Boston, MA",,The data curator role at Alphamatician involves checking and maintaining data and helping to ensure a high level of data integrity.
45,Data Science Co-Op- Fall 2022,Johnson & Johnson Family of Companies,"Cincinnati, OH 45242+71 locations",,Write software to enable data analysis and ensure data quality.Perform exploratory data analysis and contribute to the development of Ethicon’s data pipeline…
46,"Data Analyst, Business Analysis and Reporting – VIRTUAL/REMO...",Publix,"Remote in Lakeland, FL+2 locations","$63,960 - $96,330 a year","This includes mining and analyzing financial and operational data, designing and developing data systems and collaborating with internal partners to reveal…"
47,newAccessioner/Data Entry Representative,Sonic Healthcare USA provides equal employment...,"Greensboro, NC",,"Job Functions, Duties, Responsibilities and Position Qualifications: Scheduled Weekly Hours: 0 Work Shift: Company: Sonic Healthcare USA provides equal…"
48,Associate Data Scientist,Blizzard Entertainment,"Irvine, CA 92618+1 location",,Blizzard data scientists design and deploy data-powered products and services that scale to the terabytes of data that Blizzard games generate every day.
49,newData Center Operator,Reynolds and Reynolds,"Dayton, OH 45430+1 location",,"Your responsibilities will include monitoring and troubleshooting our network and server infrastructure, installing network cabling, hardware and software and…"
50,newData Specialist,The University of Alabama,"Tuscaloosa, AL",$14.49 - $21.15 an hour,"Job Summary: The Data Specialist is responsible for assisting a college, department, or division with data related functions which could include data collection…"
51,newDATA ANALYST,Highline Public Schools,"Seattle, WA","$92,404 - $103,043 a year","CLASSIFIED (NON-ADMIN)/DATA ANALYST.Position Type: Classified, Non-Continuing (Calendar).This verification, or determination of qualified exemption must be…"
52,newCybersecurity Data Analyst,Microsoft,"Remote in Redmond, WA+1 location",,3 + years in a data analysis or data visualization role.Experience providing data visualizations for executive communications or briefings.
53,Data Entry Processor,Cognizant Technology Solutions,"Reno, NV",,"Quick learning and perfect change orientation ensure teams are get right inputs in right time.Also, must take responsibility for learning and staying current…"
54,Research and Data Analyst,ESC Region 11,"Fort Worth, TX 76108",$84 an hour,Acquire data from primary or secondary data sources and maintain databases/data systems.To model a persistent growth mindset by embracing purposeful data…
55,Global Intelligence Analyst,Dolby,"San Francisco, CA",,"A passion for data analysis.Experience in working with extracting actionable information from search engines, data bases and general online research."
56,newData Entry Clerk,Summit Line Construction,"Orem, UT+1 location",,"Summit Line performs new-build, design-build, and maintenance services for both the public and private sector utilities."
57,"Data Scientist, Spotify Advertising",Spotify,Remote in Oregon+12 locations,,Communicate data-driven insights and recommendations to key partners.Build lasting solutions to surface critical data and performance metrics.
58,"Data Scientist, Mapping",Shipt,Remote in California+13 locations,,The data scientist will be responsible for end-to-end ownership of ML solutions to well scoped problems.Every second the mapping service ingests location data…
59,Junior Data Analyst,Shaker,Remote,,"College degree OR some experience working with data.Due to growing client demand, we have opportunities for data analysts at the junior, mid-, and senior…"
60,Data Entry,Reliable Associates,"Tampa, FL 33634",,"Full-time position open for detail-minded, conscientious data-entry person.Input purchase order numbers, set up files for orders, some accounting ability, like…"
61,"Data Analyst, Supply Chain Analytics (Remote)",Home Depot / THD,"Remote in Atlanta, GA+4 locations","$54,600 - $93,360 a year","Operates under the supervision and mentorship of more experienced managers and data scientists.A Data Analyst, Supply Chain Analytics leverages technical…"
62,Data Analytics Lab,The Africa Center for Strategic Progress,"Washington, DC 20005 (Logan Circle area)",,"This role will aid in the creation of digitized data that can be used to support the mission of ACSTRAP.S/he is skilled at detail, communication, data analysis…"
63,"newCoordinator, Research Data",MD Anderson Cancer Center,"Houston, TX 77030 (Medical Center area)+3 locations",,"Enter required data into designated data control system (i.e., case report forms, PDMS etc).Develops and maintains databases for collection of research data."
64,Clinical Data Coordinator (Remote),ICON GPHS,Remote in United States+1 location,,"Perform routine data cleaning tasks via query issuance, review and resolution of the query on data entry within the database."
